,0
0,0.1514481
1,0.09438549
2,0.08140885
3,0.08005586
4,0.078848585
5,0.07907055
6,0.07820859
7,0.07868438
8,0.0782661
9,0.07787021
10,0.07737477
11,0.07746929
12,0.077656984
13,0.07732194
14,0.077704936
15,0.07763981
16,0.07691836
17,0.0769194
18,0.07703372
19,0.07680546
20,0.076504186
21,0.07665135
22,0.076742135
23,0.07640981
24,0.077349074
25,0.077029705
26,0.07619202
27,0.0766132
28,0.07655199
29,0.07605912
30,0.075569354
31,0.0760096
32,0.07578986
33,0.07583127
34,0.0758289
35,0.07627651
36,0.076091506
37,0.075239636
38,0.07591699
39,0.07601069
40,0.07517771
41,0.07587657
42,0.07517343
43,0.07514634
44,0.07565493
45,0.075158596
46,0.07493948
47,0.07533673
48,0.07500616
49,0.074905805
50,0.07514263
51,0.074850954
52,0.07507542
53,0.07466589
54,0.07483379
55,0.074497014
56,0.07438989
57,0.07502661
58,0.074887305
59,0.07444877
60,0.07448693
61,0.07441644
62,0.07510847
63,0.07465672
64,0.074544035
65,0.07436769
66,0.07389525
67,0.07416432
68,0.07408854
69,0.074565135
70,0.07400405
71,0.073956415
72,0.073834695
73,0.07398489
74,0.073957026
75,0.07388371
76,0.07420363
77,0.07374281
78,0.07377663
79,0.07415181
80,0.07482568
81,0.073696226
82,0.073680945
83,0.07340754
84,0.07387033
85,0.07366113
86,0.07389961
87,0.07355342
88,0.07402618
89,0.074117
90,0.07401698
91,0.073712006
92,0.07370497
93,0.07324572
94,0.073448025
95,0.073548906
96,0.07377594
97,0.07297849
98,0.07336696
99,0.073351115
100,0.07410297
101,0.07373863
102,0.073640496
103,0.07332128
104,0.073109664
105,0.07331436
106,0.07294257
107,0.072718136
108,0.07273129
109,0.07312616
110,0.07269144
111,0.07322923
112,0.07310949
113,0.072812594
114,0.07269137
115,0.07310408
116,0.07282733
117,0.07268419
118,0.073113136
119,0.07295825
120,0.073290296
121,0.07294398
122,0.07331132
123,0.07305045
124,0.07298067
125,0.07297943
126,0.07307812
127,0.07266114
128,0.07226104
129,0.072510146
130,0.07290997
131,0.07217192
132,0.07271365
133,0.072521485
134,0.07229938
135,0.07288355
136,0.07236581
137,0.07235571
138,0.07234033
139,0.07228643
140,0.07237202
141,0.072140016
142,0.07190285
143,0.07200028
144,0.0727514
145,0.07226646
146,0.071886346
147,0.071903214
148,0.07213283
149,0.07267685
150,0.07251994
151,0.07259987
152,0.07214456
153,0.07218692
154,0.07229452
155,0.07187289
156,0.07176122
157,0.071690954
158,0.072410405
159,0.071515724
160,0.07171071
161,0.07220458
162,0.07192817
163,0.07288593
164,0.07181013
165,0.07185117
166,0.0714864
167,0.0715641
168,0.072216325
169,0.0715551
170,0.071462825
171,0.07124576
172,0.07137263
173,0.07192537
174,0.07164337
175,0.07136866
176,0.07143327
177,0.071578436
178,0.0711738
179,0.070898734
180,0.0724782
181,0.07096648
182,0.071931705
183,0.0711715
184,0.07103731
185,0.07132501
186,0.07158509
187,0.071323425
188,0.071109846
189,0.07125851
190,0.071543105
191,0.071015306
192,0.07188059
193,0.07125622
194,0.071137965
195,0.07127718
196,0.07093308
197,0.07107278
198,0.07073979
199,0.070758
200,0.071461536
201,0.07083538
202,0.071019016
203,0.07188645
204,0.07070309
205,0.07070567
206,0.07028975
207,0.07085575
208,0.070457146
209,0.07072097
210,0.07055395
211,0.07065238
212,0.070862055
213,0.070201576
214,0.07051289
215,0.070437156
216,0.07018989
217,0.0705784
218,0.0703584
219,0.071506776
220,0.07038202
221,0.070423014
222,0.07039334
