,origin_station_name,destination_station_name,origin_date,hour_,transfer_time1,avg_time1,full_price1,via_stations1,hourly_cnt1,od_ratio1,transfer_time2,avg_time2,full_price2,via_stations2,hourly_cnt2,od_ratio2,transfer_time3,avg_time3,full_price3,via_stations3,hourly_cnt3,od_ratio3,transfer_time4,avg_time4,full_price4,via_stations4,hourly_cnt4,od_ratio4,transfer_time5,avg_time5,full_price5,via_stations5,hourly_cnt5,od_ratio5
0,马务站,新市墟站,2022-03-07,7,0,8.1375,2.0,3.0,11,0.3076923076923077,0,7.428,2.0,3.0,9,0.2307692307692308,0.0,9.133,2.0,3.0,9.0,0.07692307692307693,0.0,9.017000000000001,1.0,2.0,1.0,0.07692307692307693,0.0,10.604000000000001,2.0,2.0,12.0,0.3076923076923077
0,华贵路口站,龙津中路站,2022-03-07,18,0,4.110636363636364,2.0,1.0,5,0.6875,0,4.45,0.0,1.0,4,0.0625,0.0,3.5669999999999997,1.2,1.0,6.0,0.0625,0.0,3.111333333333333,2.0,1.0,7.0,0.1875,,,,,,
0,沙园站,凤凰新村（宝业路口）站,2022-03-07,16,0,1.8,0.0,1.0,4,0.07692307692307693,0,2.267,0.0,1.0,14,0.07692307692307693,0.0,1.3166666666666669,1.0,1.0,4.0,0.2307692307692308,0.0,1.4001666666666668,2.0,1.0,8.0,0.4615384615384616,0.0,1.3335,0.0,1.0,4.0,0.1538461538461539
0,德康路站,横滘站,2022-03-07,18,0,18.367,1.2,,3,0.04545454545454546,0,10.37857142857143,2.0,3.0,15,0.3181818181818182,0.0,9.68085714285714,2.0,3.0,11.0,0.6363636363636364,,,,,,,,,,,,
0,马务站,黄石路站,2022-03-07,14,0,2.642,2.0,1.0,6,0.1818181818181818,0,2.525,2.0,1.0,9,0.1818181818181818,0.0,2.8666666666666667,2.0,1.0,6.0,0.2727272727272727,0.0,2.5,2.0,1.0,4.0,0.1818181818181818,0.0,2.85,2.0,1.0,4.0,0.1818181818181818
0,桃园西路站,员村四横路口站,2022-03-07,8,0,19.52977777777778,2.0,6.0,5,0.4090909090909091,0,20.047333333333327,2.0,6.0,5,0.2727272727272727,0.0,17.581,2.0,6.0,6.0,0.3181818181818182,,,,,,,,,,,,
0,洪德路站,同福中站,2022-03-07,8,0,4.905666666666666,2.0,2.0,7,0.4285714285714285,0,4.525,0.0,2.0,10,0.1428571428571428,0.0,4.986166666666667,2.0,2.0,14.0,0.4285714285714285,,,,,,,,,,,,
0,市红会医院站,迎宾馆站,2022-03-07,15,0,9.296,2.0,3.0,12,0.2222222222222222,0,8.9665,0.0,3.0,6,0.1111111111111111,0.0,9.526142857142858,2.0,3.0,18.0,0.3888888888888889,0.0,8.3266,2.0,3.0,9.0,0.2777777777777778,,,,,,
0,黄石东路（云城西路口）站,新市墟站,2022-03-07,7,0,14.78333333333333,2.0,5.0,6,0.2,0,13.092,2.0,6.0,9,0.1333333333333333,0.0,15.95,2.0,6.0,5.0,0.1333333333333333,0.0,11.6,1.0,5.0,7.0,0.1333333333333333,0.0,14.063666666666661,2.0,6.0,10.0,0.4
0,福南坊站,长洲街办站,2022-03-07,8,0,6.481999999999998,1.2,4.0,3,0.9285714285714286,0,5.2170000000000005,0.0,4.0,2,0.07142857142857142,,,,,,,,,,,,,,,,,,
