route_list,hour_,route_id,route_dir,origin_station_name,origin_station_id,destination_station_name,destination_station_id,transfer_time,vehicle_flag_list,cc,avg_time,origin_date,full_price,origin_hour,via_stations,hourly_cnt,normal_cnt,normal_ratio,eld_cnt,eld_ratio,cnt_rnk,od_ratio
2090#1,18,2090,1,何贤医院（清河东路）站,10024934,东怡新区站,10024062,0,0,1,8.383,2022-03-31,1.0,2022-03-31#18,4.0,1,21,0.9130434782608696,2,0.08695652173913043,3,0.04761904761904762
2237#1,18,2237,1,克山站,10006040,金沙洲路站,10027763,0,0,12,31.3125,2022-03-31,2.0,2022-03-31#18,6.0,6,47,0.9791666666666666,1,0.02083333333333333,2,0.4
6850#1,18,6850,1,克山站,10006040,金沙洲路站,10005735,0,0,4,28.54975,2022-03-31,1.0,2022-03-31#18,5.0,1,47,0.9791666666666666,1,0.02083333333333333,3,0.1333333333333333
55#0,18,55,0,克山站,10006038,金沙洲路站,10005735,0,0,1,55.933,2022-03-31,1.0,2022-03-31#18,10.0,4,47,0.9791666666666666,1,0.02083333333333333,4,0.03333333333333333
55#0,18,55,0,克山站,10006040,金沙洲路站,10005735,0,0,13,30.07815384615384,2022-03-31,1.2,2022-03-31#18,5.0,4,47,0.9791666666666666,1,0.02083333333333333,1,0.4333333333333333
42451#0,18,42451,0,兴业大道西(诺德名都)站,143122,地铁汉溪长隆A站,10011592,0,0,36,3.765277777777778,2022-03-31,2.0,2022-03-31#18,1.0,9,58,0.9830508474576272,1,0.01694915254237288,1,1.0
114#1,14,114,1,农讲所站,10003791,中山医站,10000114,0,0,9,11.59622222222222,2022-03-31,2.0,2022-03-31#14,3.0,10,15,0.6,10,0.4,1,0.391304347826087
113#1,14,113,1,农讲所站,10003791,中山医站,10000114,0,0,7,12.512,2022-03-31,1.2,2022-03-31#14,3.0,10,15,0.6,10,0.4,2,0.3043478260869565
62#1,14,62,1,农讲所站,10003791,中山医站,10000114,0,0,3,14.03866666666667,2022-03-31,1.0,2022-03-31#14,3.0,7,15,0.6,10,0.4,3,0.1304347826086956
105#1,14,105,1,农讲所站,10003791,中山医站,10000114,0,0,2,11.375,2022-03-31,1.2,2022-03-31#14,3.0,5,15,0.6,10,0.4,4,0.08695652173913043
427#0,14,427,0,农讲所站,10003791,中山医站,10000114,0,0,2,9.6665,2022-03-31,1.0,2022-03-31#14,3.0,3,15,0.6,10,0.4,5,0.08695652173913043
1950#0,20,1950,0,凌塘村站,10004752,岑村红花岗站,10006514,0,0,11,9.15290909090909,2022-03-31,2.0,2022-03-31#20,4.0,4,25,0.9615384615384616,1,0.03846153846153846,2,0.4230769230769231
2830#0,20,2830,0,凌塘村站,10004752,岑村红花岗站,10006514,0,0,15,8.667666666666667,2022-03-31,2.0,2022-03-31#20,4.0,3,25,0.9615384615384616,1,0.03846153846153846,1,0.5769230769230769
13130#0,07,13130,0,创业路站,10002178,友谊路站,10001267,0,0,17,5.292117647058824,2022-03-31,1.2,2022-03-31#07,2.0,3,29,0.935483870967742,2,0.06451612903225806,1,0.5862068965517241
13190#0,07,13190,0,创业路站,10002178,友谊路站,10001267,0,0,5,19.81,2022-03-31,1.2,2022-03-31#07,2.0,3,29,0.935483870967742,2,0.06451612903225806,2,0.1724137931034483
733#1,07,733,1,创业路站,10002178,友谊路站,10001267,0,0,4,4.19175,2022-03-31,1.0,2022-03-31#07,2.0,5,29,0.935483870967742,2,0.06451612903225806,3,0.1379310344827586
2272#0,07,2272,0,创业路站,10002178,友谊路站,10001267,0,0,2,3.675,2022-03-31,1.2,2022-03-31#07,2.0,1,29,0.935483870967742,2,0.06451612903225806,4,0.06896551724137931
35#1,07,35,1,创业路站,10002178,友谊路站,10001267,0,0,1,3.467,2022-03-31,0.5,2022-03-31#07,3.0,4,29,0.935483870967742,2,0.06451612903225806,5,0.03448275862068965
831#1,08,831,1,动物园南门站,10009091,体育中心站,10000261,0,0,1,4.1,2022-03-31,1.2,2022-03-31#08,2.0,9,32,0.8888888888888888,4,0.1111111111111111,5,0.04166666666666666
6630#0,08,6630,0,动物园南门站,10009091,体育中心站,10000261,0,0,5,5.7398,2022-03-31,1.2,2022-03-31#08,2.0,6,32,0.8888888888888888,4,0.1111111111111111,4,0.2083333333333333
724#0,08,724,0,动物园南门站,10002648,体育中心站,10000263,0,0,7,3.854714285714285,2022-03-31,1.2,2022-03-31#08,1.0,17,32,0.8888888888888888,4,0.1111111111111111,1,0.2916666666666667
747#1,08,747,1,动物园南门站,10002648,体育中心站,10000263,0,0,5,3.1266,2022-03-31,2.0,2022-03-31#08,1.0,4,32,0.8888888888888888,4,0.1111111111111111,3,0.2083333333333333
723#0,08,723,0,动物园南门站,10002648,体育中心站,10000263,0,0,6,3.414,2022-03-31,2.0,2022-03-31#08,1.0,14,32,0.8888888888888888,4,0.1111111111111111,2,0.25
114#1,09,114,1,北站,10001964,越秀公园站,10009636,0,0,6,9.341666666666667,2022-03-31,0.0,2022-03-31#09,3.0,11,9,0.2571428571428571,26,0.7428571428571429,2,0.2857142857142857
111#1,09,111,1,北站,10001964,越秀公园站,10009636,0,0,7,9.923857142857141,2022-03-31,2.0,2022-03-31#09,3.0,6,9,0.2571428571428571,26,0.7428571428571429,1,0.3333333333333333
119#1,09,119,1,北站,10001964,越秀公园站,10009636,0,0,4,8.8165,2022-03-31,1.2,2022-03-31#09,3.0,15,9,0.2571428571428571,26,0.7428571428571429,3,0.1904761904761905
20#0,09,20,0,北站,10001964,越秀公园站,10001391,0,0,2,7.699999999999999,2022-03-31,1.0,2022-03-31#09,3.0,7,9,0.2571428571428571,26,0.7428571428571429,4,0.09523809523809525
432#0,09,432,0,北站,10001964,越秀公园站,10001391,0,0,2,9.233,2022-03-31,1.2,2022-03-31#09,3.0,4,9,0.2571428571428571,26,0.7428571428571429,5,0.09523809523809525
1171#0,09,1171,0,华侨城站,11642,新世界大厦站,10000897,0,0,16,8.243687500000002,2022-03-31,2.0,2022-03-31#09,4.0,12,8,0.1230769230769231,57,0.8769230769230769,1,0.5333333333333333
1294#0,09,1294,0,华侨城站,11642,新世界大厦站,10000897,0,0,8,8.208375,2022-03-31,1.2,2022-03-31#09,4.0,6,8,0.1230769230769231,57,0.8769230769230769,2,0.2666666666666667
1250#1,09,1250,1,华侨城站,11642,新世界大厦站,10000897,0,0,4,9.1415,2022-03-31,0.0,2022-03-31#09,4.0,5,8,0.1230769230769231,57,0.8769230769230769,3,0.1333333333333333
3150#1,09,3150,1,华侨城站,11642,新世界大厦站,10000897,0,0,2,9.850000000000001,2022-03-31,0.0,2022-03-31#09,4.0,5,8,0.1230769230769231,57,0.8769230769230769,4,0.06666666666666667
3770#1,16,3770,1,华农大正门站,10005115,岑村站,10002051,0,0,3,11.15,2022-03-31,2.0,2022-03-31#16,4.0,7,32,0.8,8,0.2,4,0.1304347826086956
747#1,16,747,1,华农大正门站,10005115,岑村站,10002051,0,0,3,11.222,2022-03-31,2.0,2022-03-31#16,3.0,5,32,0.8,8,0.2,3,0.1304347826086956
61#1,16,61,1,华农大正门站,10005115,岑村站,10002051,0,0,4,11.3835,2022-03-31,2.0,2022-03-31#16,4.0,13,32,0.8,8,0.2,2,0.1739130434782609
701#1,16,701,1,华农大正门站,10005115,岑村站,10002051,0,0,13,10.90007692307693,2022-03-31,2.0,2022-03-31#16,4.0,7,32,0.8,8,0.2,1,0.5652173913043478
729#1,08,729,1,华农大正门站,10005115,汇景北路总站,10005393,0,0,11,8.683363636363637,2022-03-31,2.0,2022-03-31#08,3.0,5,110,0.9482758620689656,6,0.05172413793103448,2,0.25
10690#0,08,10690,0,华农大正门站,10005115,汇景北路总站,10005393,0,0,33,7.52718181818182,2022-03-31,1.0,2022-03-31#08,3.0,4,110,0.9482758620689656,6,0.05172413793103448,1,0.75
729#1,10,729,1,华农大正门站,10005115,汇景北路总站,10005393,0,0,9,7.659333333333333,2022-03-31,2.0,2022-03-31#10,3.0,5,33,0.7021276595744681,14,0.2978723404255319,2,0.3461538461538461
10690#0,10,10690,0,华农大正门站,10005115,汇景北路总站,10005393,0,0,17,11.70882352941176,2022-03-31,1.0,2022-03-31#10,3.0,6,33,0.7021276595744681,14,0.2978723404255319,1,0.6538461538461539
10690#0,13,10690,0,华农大正门站,10005115,汇景北路总站,10005393,0,0,13,9.853846153846153,2022-03-31,1.0,2022-03-31#13,3.0,5,33,0.825,7,0.175,1,0.5909090909090909
729#1,13,729,1,华农大正门站,10005115,汇景北路总站,10005393,0,0,9,10.49255555555555,2022-03-31,2.0,2022-03-31#13,3.0,4,33,0.825,7,0.175,2,0.4090909090909091
3250#1,08,3250,1,华南碧桂园（北行）站,10005107,地铁汉溪长隆A站,10011592,0,0,64,18.128890625,2022-03-31,2.0,2022-03-31#08,3.0,9,94,0.9690721649484536,3,0.03092783505154639,1,0.9552238805970148
